Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
1;1;0;R2 - No food found;4;4;61,0;80,0;02bab252-5732-48d4-9c6b-0d7912c735d7
1;1;5;R2 - No food found;4;4;27,0;54,0;834df528-ca7f-4385-b40f-a8c1103aaad2
1;1;1;R2 - No food found;4;4;75,0;27,0;24c1b9bc-f929-4deb-bfec-374a9f22681f
1;1;4;R2 - No food found;4;4;7,0;41,0;d7be5543-8612-4055-88c1-24d4e185a525
1;1;6;R2 - No food found;4;4;4,0;86,0;12b5cd4f-0a92-47dd-a694-bf09c84537b9
1;1;2;R2 - No food found;4;4;38,0;80,0;80688ac6-528c-4435-bfc7-8b77deb503fd
1;1;1;R2 - No food found;4;4;16,0;32,0;403449f6-270c-4070-8f81-0737056397c2
1;1;3;R2 - No food found;4;4;15,0;31,0;b9d7e2ae-e972-4ead-a519-1986b74d58bd
1;1;3;R2 - No food found;4;4;47,0;98,0;3279d36f-77da-4dd5-be3f-ab7330e9f9f6
1;1;1;R2 - No food found;4;4;12,0;81,0;53dd8d0e-c6a4-463c-af43-a45abf2dc4a6
1;1;4;R2 - No food found;4;4;2,0;38,0;7abdd563-9dc6-4399-8ce0-85ce9fc74825
1;1;0;R2 - No food found;4;4;38,0;92,0;0608a28d-dfa7-4e93-b81b-c10766937f77
1;1;2;R2 - No food found;4;4;65,0;92,0;c901d9d6-859c-44b2-a26e-06a35ced2333
1;1;3;R2 - No food found;4;4;55,0;51,0;880dcdbb-191b-45a3-a1f3-54ac3d03963a
1;1;0;R2 - No food found;4;4;42,0;90,0;db5fa989-441d-40e6-8959-ed7a945d65c2
1;1;-1;R2 - No food found;4;4;96,0;20,0;c97fa1a4-aafc-42b6-86f6-675aa4fd0d22
1;1;0;R2 - No food found;4;4;48,0;93,0;085d706b-e8be-4d6f-8abb-707685a1a0a8
1;1;0;R2 - No food found;4;4;65,0;41,0;b16456dd-4fc8-49a8-bf0a-56c44cbd093a
1;1;-1;R2 - No food found;4;4;36,0;4,0;1855a58b-f167-4112-b5f4-83d2c38101a5
1;1;3;R2 - No food found;4;4;24,0;3,0;1c8085b6-4646-4ed2-9a18-1cab5c75021b
1;1;6;R2 - No food found;4;4;80,0;26,0;c1cf9e22-39ba-40ab-8d2b-86123a1d5b17
1;1;0;R2 - No food found;4;4;45,0;27,0;1a9f5f75-bb15-47b8-b96c-2ceee25d1da0
1;1;0;R2 - No food found;4;4;25,0;46,0;5c08a211-b128-48bc-9177-bf74640887b9
1;1;5;R2 - No food found;4;4;16,0;83,0;4bed0f9b-4367-4a1a-a1c3-a9267f3ebd5d
1;1;1;R2 - No food found;4;4;60,0;58,0;3b1988e5-d7b8-48ea-a60a-34897609f3b8
1;1;5;R2 - No food found;4;4;64,0;16,0;5877307a-f1d0-4e24-8395-136d3812e3f1
1;1;4;R2 - No food found;4;4;77,0;25,0;88313d31-135d-47a7-aff7-3c27ac164f8a
1;1;5;R2 - No food found;4;4;41,0;10,0;c109bdf7-1128-469a-b0ff-afdc86389edd
1;1;2;R2 - No food found;4;4;80,0;17,0;c00e0e84-59c7-488f-bc3e-cc6dd7afc3d7
1;1;4;R2 - No food found;4;4;42,0;84,0;1a4384e1-4b37-4001-888b-9b01d5fed6d6
1;1;2;R2 - No food found;4;4;63,0;61,0;d562af7c-ee4e-4607-9a38-1bfd3a075c0d
1;1;1;R2 - No food found;4;4;1,0;2,0;3817e3da-652c-4cb2-a61e-5f97b5531578
1;1;5;R2 - No food found;4;4;18,0;85,0;cfa1c454-8928-4a7f-b122-08ef0b48d678
1;1;-1;R2 - No food found;4;4;69,0;13,0;4488f6f1-bc13-4a64-a6cb-4271fa1a7ec4
1;1;6;R2 - No food found;4;4;73,0;11,0;ffd87470-1c36-490a-89f8-7c3b9b464a0a
1;1;-1;R2 - No food found;4;4;98,0;42,0;fcc23860-5d64-4fd2-9807-1888efce3641
1;1;5;R2 - No food found;4;4;92,0;77,0;ebe13927-a9c5-42bc-b523-ea66b73adf8a
1;1;3;R2 - No food found;4;4;41,0;15,0;4f2c887b-de67-48bd-942c-1b7fd51a269e
1;1;4;R2 - No food found;4;4;80,0;22,0;74a62780-727c-4c4e-ae97-dd8055a8a17b
1;1;-1;R2 - No food found;4;4;12,0;38,0;a900f6bc-b1aa-4e3b-bfbd-261bec7c6550
1;1;5;R2 - No food found;4;4;61,0;39,0;905e57bc-f589-437d-b44a-e78842a3003c
1;1;3;R2 - No food found;4;4;99,0;31,0;cbf2151f-f9e4-4831-af68-d8db7384d622
1;1;6;R2 - No food found;4;4;63,0;32,0;387fa746-8b2d-49e1-b60a-37852c0a933a
1;1;0;R2 - No food found;4;4;3,0;22,0;866662c3-ddb1-48cf-b541-edcb9cec9cd8
1;1;3;R2 - No food found;4;4;6,0;13,0;76cc81ee-2708-42c2-b4f3-78841d5f0100
1;1;6;R2 - No food found;4;4;29,0;71,0;7d9ff267-6ee5-46e2-8094-b485299c4359
1;1;6;R2 - No food found;4;4;14,0;78,0;d0ff6263-9dee-4439-a002-19a6420e5e66
1;1;6;R2 - No food found;4;4;65,0;10,0;e708cff8-2d1a-4844-aff0-22a30fb2f59c
1;1;2;R2 - No food found;4;4;65,0;65,0;2d3f8f70-afaa-4263-bb02-df2ed0e9a282
1;1;6;R2 - No food found;4;4;64,0;83,0;279d433c-e542-460b-b598-6f609e857d96
1;1;1;R2 - No food found;4;4;24,0;15,0;0028689f-bd32-4da4-8423-92518ac29e2d
1;1;4;R2 - No food found;4;4;59,0;37,0;085b9b00-e31a-432c-abaf-727a60348930
1;1;5;R2 - No food found;4;4;15,0;54,0;01dad334-cd16-4dca-9227-7ee9a9392530
1;1;5;R2 - No food found;4;4;69,0;73,0;1f8b2f0d-59b2-4648-a02c-8bb20c486885
1;1;3;R2 - No food found;4;4;57,0;14,0;3112d43a-225d-4a9a-af71-a61bc8a48027
1;1;0;R2 - No food found;4;4;51,0;24,0;ed065a6a-ed3c-411f-9496-f9d5102a3464
1;1;0;R2 - No food found;4;4;50,0;36,0;c80e8c2e-5bfe-4960-b550-6f980ae7a2d4
1;1;4;R2 - No food found;4;4;52,0;49,0;38d950ad-2c90-44ab-bda7-2d71647f3823
1;1;4;R2 - No food found;4;4;59,0;74,0;51e7366f-19a9-464a-b129-d7673f5d2dfb
1;1;1;R2 - No food found;4;4;74,0;34,0;a8cae50d-c1e5-4d5e-97e4-4af5bab6ab6b
1;1;2;R2 - No food found;4;4;67,0;72,0;ac39e36e-efb0-47e9-8c21-d1f520e8e317
1;1;5;R2 - No food found;4;4;13,0;4,0;2aeeee6b-fe17-4f5f-8d79-1066bbd5cc5b
1;1;6;R2 - No food found;4;4;40,0;67,0;e6713625-6962-4a83-9e42-a6aa5ca58540
1;1;6;R2 - No food found;4;4;87,0;4,0;3695aefa-ef47-419a-a674-45f4eca167cd
1;1;1;R2 - No food found;4;4;37,0;93,0;f53cf129-2696-4c49-a1bd-6845ae642ff5
1;1;0;R2 - No food found;4;4;86,0;10,0;63c3a0e0-6b57-4787-8c88-11d341780d4e
1;1;6;R2 - No food found;4;4;44,0;9,0;74e9332f-5205-4b26-94fc-9c0a1a2ab708
1;1;2;R2 - No food found;4;4;100,0;1,0;4d2322b3-c40c-49ce-be07-707616d94cf0
1;1;3;R2 - No food found;4;4;27,0;74,0;8ba747c7-4929-4fce-9de6-f408f5468942
1;1;5;R1 - Eat grass;4;4;16,0;83,0;585c0b51-b59b-437b-b2f5-87615ed95514
1;1;2;R2 - No food found;4;4;83,0;24,0;97739507-d11e-4f9b-a731-0470ed3b017c
1;1;2;R2 - No food found;4;4;36,0;19,0;2d30dfa6-42b4-4b71-83b3-2b55170b286c
1;1;1;R2 - No food found;4;4;48,0;37,0;256de3f5-e87b-418b-a750-5e948510814f
1;1;4;R2 - No food found;4;4;65,0;11,0;f0bbe619-335d-429f-872c-3f9f42144027
1;1;0;R2 - No food found;4;4;58,0;15,0;e2a13329-d9f8-4848-b4cb-81a6be08c4f8
1;1;5;R2 - No food found;4;4;18,0;74,0;1442e605-f4ba-4b56-a119-5a3498c63063
1;1;3;R2 - No food found;4;4;42,0;98,0;488797c2-b6c0-44f8-88a4-531eb42a5e54
1;1;6;R2 - No food found;4;4;82,0;80,0;467ca41e-1f6a-4594-b1ef-4db98e25702e
1;1;0;R2 - No food found;4;4;84,0;14,0;41a0e685-039f-49b2-a7cd-b1f26d65e581
