Tick,Step,DateTime,GrassRegrowthPerStep,ID
133,133,2022-02-23T14:51:13.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
134,134,2022-02-23T14:51:14.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
135,135,2022-02-23T14:51:15.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
136,136,2022-02-23T14:51:16.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
137,137,2022-02-23T14:51:17.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
138,138,2022-02-23T14:51:18.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
139,139,2022-02-23T14:51:19.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
140,140,2022-02-23T14:51:20.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
141,141,2022-02-23T14:51:21.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
142,142,2022-02-23T14:51:22.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
143,143,2022-02-23T14:51:23.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
144,144,2022-02-23T14:51:24.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
145,145,2022-02-23T14:51:25.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
146,146,2022-02-23T14:51:26.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
147,147,2022-02-23T14:51:27.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
148,148,2022-02-23T14:51:28.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
149,149,2022-02-23T14:51:29.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
150,150,2022-02-23T14:51:30.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
151,151,2022-02-23T14:51:31.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
152,152,2022-02-23T14:51:32.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
153,153,2022-02-23T14:51:33.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
154,154,2022-02-23T14:51:34.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
155,155,2022-02-23T14:51:35.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
156,156,2022-02-23T14:51:36.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
157,157,2022-02-23T14:51:37.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
158,158,2022-02-23T14:51:38.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
159,159,2022-02-23T14:51:39.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
160,160,2022-02-23T14:51:40.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
161,161,2022-02-23T14:51:41.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
162,162,2022-02-23T14:51:42.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
163,163,2022-02-23T14:51:43.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
164,164,2022-02-23T14:51:44.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
165,165,2022-02-23T14:51:45.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
166,166,2022-02-23T14:51:46.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
167,167,2022-02-23T14:51:47.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
168,168,2022-02-23T14:51:48.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
169,169,2022-02-23T14:51:49.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
170,170,2022-02-23T14:51:50.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
171,171,2022-02-23T14:51:51.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
172,172,2022-02-23T14:51:52.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
173,173,2022-02-23T14:51:53.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
174,174,2022-02-23T14:51:54.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
175,175,2022-02-23T14:51:55.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
176,176,2022-02-23T14:51:56.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
177,177,2022-02-23T14:51:57.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
178,178,2022-02-23T14:51:58.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
179,179,2022-02-23T14:51:59.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
180,180,2022-02-23T14:52:00.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
181,181,2022-02-23T14:52:01.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
182,182,2022-02-23T14:52:02.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
183,183,2022-02-23T14:52:03.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
184,184,2022-02-23T14:52:04.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
185,185,2022-02-23T14:52:05.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
186,186,2022-02-23T14:52:06.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
187,187,2022-02-23T14:52:07.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
188,188,2022-02-23T14:52:08.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
189,189,2022-02-23T14:52:09.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
190,190,2022-02-23T14:52:10.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
191,191,2022-02-23T14:52:11.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
192,192,2022-02-23T14:52:12.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
193,193,2022-02-23T14:52:13.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
194,194,2022-02-23T14:52:14.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
195,195,2022-02-23T14:52:15.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
196,196,2022-02-23T14:52:16.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
197,197,2022-02-23T14:52:17.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
198,198,2022-02-23T14:52:18.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
199,199,2022-02-23T14:52:19.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
200,200,2022-02-23T14:52:20.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
201,201,2022-02-23T14:52:21.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
202,202,2022-02-23T14:52:22.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
203,203,2022-02-23T14:52:23.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
204,204,2022-02-23T14:52:24.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
205,205,2022-02-23T14:52:25.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
206,206,2022-02-23T14:52:26.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
207,207,2022-02-23T14:52:27.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
208,208,2022-02-23T14:52:28.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
209,209,2022-02-23T14:52:29.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
210,210,2022-02-23T14:52:30.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
211,211,2022-02-23T14:52:31.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
212,212,2022-02-23T14:52:32.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
213,213,2022-02-23T14:52:33.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
214,214,2022-02-23T14:52:34.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
215,215,2022-02-23T14:52:35.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
216,216,2022-02-23T14:52:36.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
217,217,2022-02-23T14:52:37.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
218,218,2022-02-23T14:52:38.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
219,219,2022-02-23T14:52:39.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
220,220,2022-02-23T14:52:40.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
221,221,2022-02-23T14:52:41.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
222,222,2022-02-23T14:52:42.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
223,223,2022-02-23T14:52:43.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
224,224,2022-02-23T14:52:44.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
225,225,2022-02-23T14:52:45.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
226,226,2022-02-23T14:52:46.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
227,227,2022-02-23T14:52:47.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
228,228,2022-02-23T14:52:48.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
